scope,name,count,mean_ms,median_ms,p95_ms,p99_ms,worst_ms,min_ms,stdev_ms,fps
global,1-world,3,2994.4115,3355.0807,3663.9411,3691.3953,3698.2589,1929.8949,937.731,0.334
stage,capture,3,0.0019,0.0019,0.0022,0.0022,0.0022,0.0015,0.0004,534188.039
stage,detection,3,2835.0302,3191.6357,3500.9637,3528.4595,3535.3335,1778.1214,931.3024,0.353
stage,classification,3,55.3811,54.3266,57.5298,57.8145,57.8857,53.931,2.178,18.057
stage,weakening_ocr,3,103.8747,105.4231,108.5317,108.8081,108.8772,97.3239,5.9302,9.627
stage,decision,3,0.0175,0.0164,0.0197,0.02,0.0201,0.0162,0.0022,57002.793
world,W1,3,2994.4115,3355.0807,3663.9411,3691.3953,3698.2589,1929.8949,937.731,0.334

scope,name,count,mean_ms,median_ms,p95_ms,p99_ms,worst_ms,min_ms,stdev_ms,fps
global,2-world,6,3438.6285,3647.6126,3960.0434,3963.4606,3964.3149,1933.2352,760.7116,0.291
stage,capture,6,0.0017,0.0017,0.0018,0.0018,0.0018,0.0014,0.0002,591133.019
stage,detection,6,3275.0725,3487.5923,3793.6264,3801.3798,3803.3182,1762.861,761.8685,0.305
stage,classification,6,59.7787,59.0867,65.1488,65.4558,65.5325,54.6352,4.3939,16.728
stage,weakening_ocr,6,103.6476,98.9661,119.4904,121.2406,121.6781,92.4976,11.232,9.648
stage,decision,6,0.0165,0.0153,0.0244,0.0256,0.026,0.0079,0.006,60546.126
world,W1,3,3165.4611,3615.9193,3914.0978,3940.6025,3947.2287,1933.2352,1079.9199,0.316
world,W2,3,3711.7959,3679.3059,3935.814,3958.6147,3964.3149,3491.7669,237.9435,0.269

scope,name,count,mean_ms,median_ms,p95_ms,p99_ms,worst_ms,min_ms,stdev_ms,fps
global,4-world,12,3398.7742,3329.2611,4373.7388,4957.347,5103.2491,1905.9287,714.4492,0.294
stage,capture,12,0.0012,0.0012,0.0016,0.0018,0.0018,0.0009,0.0002,842400.863
stage,detection,12,3242.0354,3163.0501,4216.1563,4801.805,4948.2171,1756.8995,713.1321,0.308
stage,classification,12,60.4834,57.8588,76.9105,83.2796,84.8719,53.9571,8.9338,16.533
stage,weakening_ocr,12,96.1426,96.3727,100.0006,101.6235,102.0293,91.3358,2.6886,10.401
stage,decision,12,0.013,0.0144,0.0154,0.0154,0.0155,0.0077,0.0031,77212.128
world,W1,3,3074.6412,3541.1284,3753.2928,3772.1519,3776.8667,1905.9287,1018.9749,0.325
world,W2,3,3424.5251,3412.1059,3673.4152,3696.6427,3702.4496,3159.0198,271.9276,0.292
world,W3,3,3290.6857,3323.2967,3334.0325,3334.9868,3335.2254,3213.5349,67.0802,0.304
world,W4,3,3805.2448,3211.9323,4914.1174,5065.4227,5103.2491,3100.553,1125.4833,0.263

scope,name,count,mean_ms,median_ms,p95_ms,p99_ms,worst_ms,min_ms,stdev_ms,fps
global,8-world,24,3224.889,3236.3324,5294.2009,5377.0272,5400.2551,1267.8378,1052.1784,0.31
stage,capture,24,0.0012,0.0011,0.0015,0.0015,0.0016,0.0009,0.0002,859352.635
stage,detection,24,3062.7165,3073.8338,5132.4027,5225.0301,5251.4883,1058.8837,1060.3464,0.327
stage,classification,24,58.2777,57.7251,63.3358,64.8212,65.1768,53.8641,2.9632,17.159
stage,weakening_ocr,24,103.7789,96.6597,146.031,193.0163,205.0251,90.399,24.6966,9.636
stage,decision,24,0.0128,0.014,0.0165,0.0186,0.0192,0.0072,0.0033,78058.68
world,W1,3,3099.401,3398.3719,3960.4846,4010.4501,4022.9415,1876.8896,1103.8218,0.323
world,W2,3,3529.0642,3627.8168,3707.0579,3714.1016,3715.8625,3243.5132,251.1823,0.283
world,W3,3,3340.4662,3340.3189,3440.7672,3449.6959,3451.9281,3229.1516,111.3883,0.299
world,W4,3,3886.036,3210.9399,5090.4316,5257.4975,5299.264,3147.9042,1224.2971,0.257
world,W5,3,3903.0198,3335.6373,5072.5225,5226.9123,5265.5097,3107.9124,1185.4319,0.256
world,W6,3,3645.2115,3165.4737,5176.777,5355.5595,5400.2551,2369.9057,1571.1033,0.274
world,W7,3,2563.9124,2242.1942,3231.0496,3318.9479,3340.9224,2108.6204,676.2166,0.39
world,W8,3,1832.0012,2011.4172,2196.2153,2212.6418,2216.7484,1267.8378,499.2499,0.546
