axis,value,A_correct,A_wrong,A_unknown,B_correct,B_wrong,B_unknown
shift_x,-10,14,0,136,21,1,128
shift_x,-8,17,0,133,24,1,125
shift_x,-6,21,1,128,32,1,117
shift_x,-4,21,1,128,30,0,120
shift_x,-2,23,0,127,34,0,116
shift_x,0,35,0,115,30,0,120
shift_x,2,28,0,122,34,1,115
shift_x,4,25,1,124,23,1,126
shift_x,6,21,0,129,16,1,133
shift_x,8,16,0,134,12,0,138
shift_x,10,15,1,134,11,0,139
shift_y,-10,13,0,137,9,0,141
shift_y,-8,15,0,135,11,0,139
shift_y,-6,18,1,131,18,0,132
shift_y,-4,33,1,116,18,0,132
shift_y,-2,32,0,118,25,2,123
shift_y,0,35,0,115,30,0,120
shift_y,2,31,1,118,29,3,118
shift_y,4,28,1,121,30,0,120
shift_y,6,17,0,133,29,0,121
shift_y,8,12,0,138,17,0,133
shift_y,10,9,0,141,18,3,129
shift_diag,-10,17,0,133,8,0,142
shift_diag,-8,10,0,140,11,0,139
shift_diag,-6,21,0,129,17,1,132
shift_diag,-4,20,0,130,21,2,127
shift_diag,-2,22,0,128,26,1,123
shift_diag,0,35,0,115,30,0,120
shift_diag,2,20,0,130,24,0,126
shift_diag,4,16,0,134,26,0,124
shift_diag,6,18,1,131,29,0,121
shift_diag,8,13,0,137,10,0,140
shift_diag,10,8,0,142,9,2,139
scale,0.85,6,0,144,3,1,146
scale,0.9,13,1,136,2,0,148
scale,0.95,35,1,114,33,1,116
scale,1.0,35,0,115,30,0,120
scale,1.05,36,1,113,32,1,117
scale,1.1,22,0,128,8,0,142
scale,1.2,3,0,147,2,0,148
blur,0.0,35,0,115,30,0,120
blur,0.5,37,0,113,31,1,118
blur,1.0,40,2,108,35,1,114
blur,1.5,41,2,107,33,1,116
blur,2.0,41,2,107,34,1,115
contrast,0.7,35,0,115,28,1,121
contrast,0.85,35,0,115,29,1,120
contrast,1.0,35,0,115,30,0,120
contrast,1.15,35,0,115,30,1,119
contrast,1.3,35,0,115,27,1,122
brightness,-30,35,0,115,27,0,123
brightness,-15,35,0,115,31,0,119
brightness,0,35,0,115,30,0,120
brightness,15,35,0,115,28,1,121
brightness,30,35,0,115,29,1,120
